interaction_type,degree,change_polarization,change_opinion,x_i_prior,x_i_post,avg_x_j,topic,topic_title,window_start,window_end,degree_bin,degree_bin_label
same,0.3999999999999999,1.0,1.0,1.0,2.0,1.4,Politics,Partisan Alignment,0,5,2,More Radical
same,-0.3500000000000001,0.0,0.0,2.0,2.0,1.65,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.25,0.0,-0.0,-1.0,-1.0,-0.75,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.8,1.0,1.0,1.0,2.0,0.2,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.19999999999999996,0.0,-0.0,-1.0,-1.0,0.8,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.5789473684210527,1.0,1.0,1.0,2.0,-0.42105263157894735,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.6,0.0,0.0,1.0,1.0,-0.4,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-1.25,-2.0,-2.0,-2.0,0.0,0.75,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.35,0.0,0.0,1.0,1.0,-0.65,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.75,0.0,-0.0,-1.0,-1.0,0.25,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.36363636363636365,0.0,-0.0,-1.0,-1.0,-0.6363636363636364,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.7058823529411764,1.0,1.0,-1.0,-2.0,-0.29411764705882354,Politics,Partisan Alignment,0,5,0,More Moderate
same,-0.7777777777777778,1.0,1.0,-1.0,-2.0,-0.2222222222222222,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-0.9166666666666666,1.0,1.0,1.0,2.0,-0.08333333333333333,Politics,Partisan Alignment,0,5,0,More Moderate
same,0.3999999999999999,1.0,1.0,1.0,2.0,1.4,Politics,Partisan Alignment,0,5,2,More Radical
same,-1.7619047619047619,0.0,0.0,2.0,2.0,0.23809523809523808,Politics,Partisan Alignment,0,5,0,More Moderate
diff,-1.1111111111111112,-1.0,-1.0,-2.0,-1.0,0.8888888888888888,Politics,Partisan Alignment,0,5,0,More Moderate
