topic,source_group_order,source_group,target_state_order,target_state_label,proportion
AbortionBan,0,left,0,strong_positive,0.84
AbortionBan,0,left,1,weak_positive,0.15
AbortionBan,0,left,2,neutral,0.01
AbortionBan,0,left,3,weak_negative,0.0
AbortionBan,0,left,4,strong_negative,0.0
AbortionBan,1,tend_left,0,strong_positive,0.84
AbortionBan,1,tend_left,1,weak_positive,0.16
AbortionBan,1,tend_left,2,neutral,0.0
AbortionBan,1,tend_left,3,weak_negative,0.0
AbortionBan,1,tend_left,4,strong_negative,0.0
AbortionBan,2,center,0,strong_positive,0.12
AbortionBan,2,center,1,weak_positive,0.21
AbortionBan,2,center,2,neutral,0.53
AbortionBan,2,center,3,weak_negative,0.13
AbortionBan,2,center,4,strong_negative,0.01
AbortionBan,3,tend_right,0,strong_positive,0.08
AbortionBan,3,tend_right,1,weak_positive,0.13
AbortionBan,3,tend_right,2,neutral,0.11
AbortionBan,3,tend_right,3,weak_negative,0.42
AbortionBan,3,tend_right,4,strong_negative,0.26
AbortionBan,4,right,0,strong_positive,0.04
AbortionBan,4,right,1,weak_positive,0.03
AbortionBan,4,right,2,neutral,0.04
AbortionBan,4,right,3,weak_negative,0.17
AbortionBan,4,right,4,strong_negative,0.72
