topic,topic_title,epoch,state_order,state,state_label,count,total_nodes,proportion
Politics_de,Partisan Alignment,0,0,2,strong_positive,115,1000,0.115
Politics_de,Partisan Alignment,0,1,1,weak_positive,185,1000,0.185
Politics_de,Partisan Alignment,0,2,0,neutral,402,1000,0.402
Politics_de,Partisan Alignment,0,3,-1,weak_negative,187,1000,0.187
Politics_de,Partisan Alignment,0,4,-2,strong_negative,111,1000,0.111
Politics_de,Partisan Alignment,1,0,2,strong_positive,132,1000,0.132
Politics_de,Partisan Alignment,1,1,1,weak_positive,190,1000,0.19
Politics_de,Partisan Alignment,1,2,0,neutral,387,1000,0.387
Politics_de,Partisan Alignment,1,3,-1,weak_negative,173,1000,0.173
Politics_de,Partisan Alignment,1,4,-2,strong_negative,118,1000,0.118
Politics_de,Partisan Alignment,2,0,2,strong_positive,183,1000,0.183
Politics_de,Partisan Alignment,2,1,1,weak_positive,158,1000,0.158
Politics_de,Partisan Alignment,2,2,0,neutral,368,1000,0.368
Politics_de,Partisan Alignment,2,3,-1,weak_negative,184,1000,0.184
Politics_de,Partisan Alignment,2,4,-2,strong_negative,107,1000,0.107
Politics_de,Partisan Alignment,3,0,2,strong_positive,238,1000,0.238
Politics_de,Partisan Alignment,3,1,1,weak_positive,125,1000,0.125
Politics_de,Partisan Alignment,3,2,0,neutral,351,1000,0.351
Politics_de,Partisan Alignment,3,3,-1,weak_negative,168,1000,0.168
Politics_de,Partisan Alignment,3,4,-2,strong_negative,118,1000,0.118
Politics_de,Partisan Alignment,4,0,2,strong_positive,308,1000,0.308
Politics_de,Partisan Alignment,4,1,1,weak_positive,77,1000,0.077
Politics_de,Partisan Alignment,4,2,0,neutral,340,1000,0.34
Politics_de,Partisan Alignment,4,3,-1,weak_negative,156,1000,0.156
Politics_de,Partisan Alignment,4,4,-2,strong_negative,119,1000,0.119
Politics_de,Partisan Alignment,5,0,2,strong_positive,338,1000,0.338
Politics_de,Partisan Alignment,5,1,1,weak_positive,61,1000,0.061
Politics_de,Partisan Alignment,5,2,0,neutral,336,1000,0.336
Politics_de,Partisan Alignment,5,3,-1,weak_negative,152,1000,0.152
Politics_de,Partisan Alignment,5,4,-2,strong_negative,113,1000,0.113
Politics_de,Partisan Alignment,6,0,2,strong_positive,371,1000,0.371
Politics_de,Partisan Alignment,6,1,1,weak_positive,39,1000,0.039
Politics_de,Partisan Alignment,6,2,0,neutral,331,1000,0.331
Politics_de,Partisan Alignment,6,3,-1,weak_negative,139,1000,0.139
Politics_de,Partisan Alignment,6,4,-2,strong_negative,120,1000,0.12
Politics_de,Partisan Alignment,7,0,2,strong_positive,387,1000,0.387
Politics_de,Partisan Alignment,7,1,1,weak_positive,33,1000,0.033
Politics_de,Partisan Alignment,7,2,0,neutral,328,1000,0.328
Politics_de,Partisan Alignment,7,3,-1,weak_negative,121,1000,0.121
Politics_de,Partisan Alignment,7,4,-2,strong_negative,131,1000,0.131
Politics_de,Partisan Alignment,8,0,2,strong_positive,401,1000,0.401
Politics_de,Partisan Alignment,8,1,1,weak_positive,24,1000,0.024
Politics_de,Partisan Alignment,8,2,0,neutral,323,1000,0.323
Politics_de,Partisan Alignment,8,3,-1,weak_negative,112,1000,0.112
Politics_de,Partisan Alignment,8,4,-2,strong_negative,140,1000,0.14
