topic,epoch,type,sample_count
thought_politics,0,negative_to_negative,298
thought_politics,0,negative_to_neutral,298
thought_politics,0,negative_to_positive,298
thought_politics,0,neutral_to_negative,402
thought_politics,0,neutral_to_neutral,402
thought_politics,0,neutral_to_positive,402
thought_politics,0,positive_to_negative,300
thought_politics,0,positive_to_neutral,300
thought_politics,0,positive_to_positive,300
thought_politics,5,negative_to_negative,265
thought_politics,5,negative_to_neutral,265
thought_politics,5,negative_to_positive,265
thought_politics,5,neutral_to_negative,336
thought_politics,5,neutral_to_neutral,336
thought_politics,5,neutral_to_positive,336
thought_politics,5,positive_to_negative,399
thought_politics,5,positive_to_neutral,399
thought_politics,5,positive_to_positive,399
thought_politics,10,negative_to_negative,237
thought_politics,10,negative_to_neutral,237
thought_politics,10,negative_to_positive,237
thought_politics,10,neutral_to_negative,328
thought_politics,10,neutral_to_neutral,328
thought_politics,10,neutral_to_positive,328
thought_politics,10,positive_to_negative,435
thought_politics,10,positive_to_neutral,435
thought_politics,10,positive_to_positive,435
thought_politics,15,negative_to_negative,202
thought_politics,15,negative_to_neutral,202
thought_politics,15,negative_to_positive,202
thought_politics,15,neutral_to_negative,341
thought_politics,15,neutral_to_neutral,341
thought_politics,15,neutral_to_positive,341
thought_politics,15,positive_to_negative,457
thought_politics,15,positive_to_neutral,457
thought_politics,15,positive_to_positive,457
thought_politics,20,negative_to_negative,182
thought_politics,20,negative_to_neutral,182
thought_politics,20,negative_to_positive,182
thought_politics,20,neutral_to_negative,339
thought_politics,20,neutral_to_neutral,339
thought_politics,20,neutral_to_positive,339
thought_politics,20,positive_to_negative,479
thought_politics,20,positive_to_neutral,479
thought_politics,20,positive_to_positive,479
thought_politics,25,negative_to_negative,177
thought_politics,25,negative_to_neutral,177
thought_politics,25,negative_to_positive,177
thought_politics,25,neutral_to_negative,332
thought_politics,25,neutral_to_neutral,332
thought_politics,25,neutral_to_positive,332
thought_politics,25,positive_to_negative,491
thought_politics,25,positive_to_neutral,491
thought_politics,25,positive_to_positive,491
thought_politics,30,negative_to_negative,173
thought_politics,30,negative_to_neutral,173
thought_politics,30,negative_to_positive,173
thought_politics,30,neutral_to_negative,328
thought_politics,30,neutral_to_neutral,328
thought_politics,30,neutral_to_positive,328
thought_politics,30,positive_to_negative,499
thought_politics,30,positive_to_neutral,499
thought_politics,30,positive_to_positive,499
thought_politics,35,negative_to_negative,164
thought_politics,35,negative_to_neutral,164
thought_politics,35,negative_to_positive,164
thought_politics,35,neutral_to_negative,325
thought_politics,35,neutral_to_neutral,325
thought_politics,35,neutral_to_positive,325
thought_politics,35,positive_to_negative,511
thought_politics,35,positive_to_neutral,511
thought_politics,35,positive_to_positive,511
thought_politics,40,negative_to_negative,153
thought_politics,40,negative_to_neutral,153
thought_politics,40,negative_to_positive,153
thought_politics,40,neutral_to_negative,328
thought_politics,40,neutral_to_neutral,328
thought_politics,40,neutral_to_positive,328
thought_politics,40,positive_to_negative,519
thought_politics,40,positive_to_neutral,519
thought_politics,40,positive_to_positive,519
