topic,topic_key,condition,source_group,target_state,source_group_index,target_state_index,proportion
Abortion Ban,AbortionBan,Original,left,left,0,0,0.84
Abortion Ban,AbortionBan,Original,left,tend left,0,1,0.15
Abortion Ban,AbortionBan,Original,left,center,0,2,0.01
Abortion Ban,AbortionBan,Original,left,tend right,0,3,0.0
Abortion Ban,AbortionBan,Original,left,right,0,4,0.0
Abortion Ban,AbortionBan,Original,tend left,left,1,0,0.84
Abortion Ban,AbortionBan,Original,tend left,tend left,1,1,0.16
Abortion Ban,AbortionBan,Original,tend left,center,1,2,0.0
Abortion Ban,AbortionBan,Original,tend left,tend right,1,3,0.0
Abortion Ban,AbortionBan,Original,tend left,right,1,4,0.0
Abortion Ban,AbortionBan,Original,center,left,2,0,0.12
Abortion Ban,AbortionBan,Original,center,tend left,2,1,0.21
Abortion Ban,AbortionBan,Original,center,center,2,2,0.53
Abortion Ban,AbortionBan,Original,center,tend right,2,3,0.13
Abortion Ban,AbortionBan,Original,center,right,2,4,0.01
Abortion Ban,AbortionBan,Original,tend right,left,3,0,0.08
Abortion Ban,AbortionBan,Original,tend right,tend left,3,1,0.13
Abortion Ban,AbortionBan,Original,tend right,center,3,2,0.11
Abortion Ban,AbortionBan,Original,tend right,tend right,3,3,0.42
Abortion Ban,AbortionBan,Original,tend right,right,3,4,0.26
Abortion Ban,AbortionBan,Original,right,left,4,0,0.04
Abortion Ban,AbortionBan,Original,right,tend left,4,1,0.03
Abortion Ban,AbortionBan,Original,right,center,4,2,0.04
Abortion Ban,AbortionBan,Original,right,tend right,4,3,0.17
Abortion Ban,AbortionBan,Original,right,right,4,4,0.72
Abortion Ban,AbortionBan,Self-regulated,left,left,0,0,1.0
Abortion Ban,AbortionBan,Self-regulated,left,tend left,0,1,0.0
Abortion Ban,AbortionBan,Self-regulated,left,center,0,2,0.0
Abortion Ban,AbortionBan,Self-regulated,left,tend right,0,3,0.0
Abortion Ban,AbortionBan,Self-regulated,left,right,0,4,0.0
Abortion Ban,AbortionBan,Self-regulated,tend left,left,1,0,0.9
Abortion Ban,AbortionBan,Self-regulated,tend left,tend left,1,1,0.1
Abortion Ban,AbortionBan,Self-regulated,tend left,center,1,2,0.0
Abortion Ban,AbortionBan,Self-regulated,tend left,tend right,1,3,0.0
Abortion Ban,AbortionBan,Self-regulated,tend left,right,1,4,0.0
Abortion Ban,AbortionBan,Self-regulated,center,left,2,0,0.29
Abortion Ban,AbortionBan,Self-regulated,center,tend left,2,1,0.03
Abortion Ban,AbortionBan,Self-regulated,center,center,2,2,0.68
Abortion Ban,AbortionBan,Self-regulated,center,tend right,2,3,0.0
