panel,condition,time,bias
Exaggerated misperception,0%,0,0.8
Exaggerated misperception,0%,1,0.84
Exaggerated misperception,0%,2,0.88
Exaggerated misperception,0%,3,0.98
Exaggerated misperception,0%,4,1.15
Exaggerated misperception,0%,5,1.26
Exaggerated misperception,0%,6,1.31
Exaggerated misperception,0%,7,1.33
Exaggerated misperception,0%,8,1.38
Exaggerated misperception,0%,9,1.43
Exaggerated misperception,0%,10,1.43
Exaggerated misperception,0%,11,1.47
Exaggerated misperception,0%,12,1.5
Exaggerated misperception,0%,13,1.47
Exaggerated misperception,0%,14,1.5
Exaggerated misperception,0%,15,1.54
Exaggerated misperception,0%,16,1.55
Exaggerated misperception,0%,17,1.56
Exaggerated misperception,0%,18,1.56
Exaggerated misperception,0%,19,1.56
Exaggerated misperception,50%,0,0.8
Exaggerated misperception,50%,1,0.85
Exaggerated misperception,50%,2,0.96
Exaggerated misperception,50%,3,1.01
Exaggerated misperception,50%,4,1.18
Exaggerated misperception,50%,5,1.31
Exaggerated misperception,50%,6,1.36
Exaggerated misperception,50%,7,1.44
Exaggerated misperception,50%,8,1.54
Exaggerated misperception,50%,9,1.57
Exaggerated misperception,50%,10,1.58
Exaggerated misperception,50%,11,1.6
Exaggerated misperception,50%,12,1.63
Exaggerated misperception,50%,13,1.66
Exaggerated misperception,50%,14,1.63
Exaggerated misperception,50%,15,1.64
Exaggerated misperception,50%,16,1.64
Exaggerated misperception,50%,17,1.64
Exaggerated misperception,50%,18,1.66
Exaggerated misperception,50%,19,1.65
Objective illusion,0%,0,0.8
Objective illusion,0%,1,0.84
Objective illusion,0%,2,0.88
Objective illusion,0%,3,0.98
Objective illusion,0%,4,1.15
Objective illusion,0%,5,1.26
Objective illusion,0%,6,1.31
Objective illusion,0%,7,1.33
Objective illusion,0%,8,1.38
Objective illusion,0%,9,1.43
Objective illusion,0%,10,1.43
Objective illusion,0%,11,1.47
Objective illusion,0%,12,1.5
Objective illusion,0%,13,1.47
Objective illusion,0%,14,1.5
Objective illusion,0%,15,1.54
Objective illusion,0%,16,1.55
Objective illusion,0%,17,1.56
Objective illusion,0%,18,1.56
Objective illusion,0%,19,1.56
Objective illusion,50%,0,0.8
Objective illusion,50%,1,0.86
Objective illusion,50%,2,0.97
Objective illusion,50%,3,1.15
Objective illusion,50%,4,1.28
Objective illusion,50%,5,1.42
Objective illusion,50%,6,1.52
Objective illusion,50%,7,1.54
Objective illusion,50%,8,1.55
Objective illusion,50%,9,1.55
Objective illusion,50%,10,1.62
Objective illusion,50%,11,1.6363636363636365
Objective illusion,50%,12,1.6464646464646464
Objective illusion,50%,13,1.6565656565656566
Objective illusion,50%,14,1.6565656565656566
Objective illusion,50%,15,1.6666666666666667
Objective illusion,50%,16,1.707070707070707
Objective illusion,50%,17,1.7171717171717171
Objective illusion,50%,18,1.7272727272727273
Objective illusion,50%,19,1.7676767676767677
Stereotyping,0%,0,0.8
Stereotyping,0%,1,0.84
Stereotyping,0%,2,0.88
Stereotyping,0%,3,0.98
Stereotyping,0%,4,1.15
Stereotyping,0%,5,1.26
Stereotyping,0%,6,1.31
Stereotyping,0%,7,1.33
Stereotyping,0%,8,1.38
Stereotyping,0%,9,1.43
Stereotyping,0%,10,1.43
Stereotyping,0%,11,1.47
Stereotyping,0%,12,1.5
Stereotyping,0%,13,1.47
Stereotyping,0%,14,1.5
Stereotyping,0%,15,1.54
Stereotyping,0%,16,1.55
Stereotyping,0%,17,1.56
Stereotyping,0%,18,1.56
Stereotyping,0%,19,1.56
Stereotyping,50%,0,0.8
Stereotyping,50%,1,0.83
Stereotyping,50%,2,1.02
Stereotyping,50%,3,1.07
Stereotyping,50%,4,1.08
Stereotyping,50%,5,1.22
Stereotyping,50%,6,1.3
Stereotyping,50%,7,1.34
Stereotyping,50%,8,1.41
Stereotyping,50%,9,1.51
Stereotyping,50%,10,1.51
Stereotyping,50%,11,1.53
Stereotyping,50%,12,1.55
Stereotyping,50%,13,1.54
Stereotyping,50%,14,1.57
Stereotyping,50%,15,1.63
Stereotyping,50%,16,1.65
Stereotyping,50%,17,1.67
Stereotyping,50%,18,1.7
Stereotyping,50%,19,1.68
