type,timestep,polarization
Openmindedness,35,1.86
Openmindedness,36,1.85
Openmindedness,37,1.85
Openmindedness,38,1.81
Openmindedness,39,1.86
Openmindedness,40,1.85
Openmindedness+Opposing Interactions,35,1.85
Openmindedness+Opposing Interactions,36,1.82
Openmindedness+Opposing Interactions,37,1.79
Openmindedness+Opposing Interactions,38,1.78
Openmindedness+Opposing Interactions,39,1.75
Openmindedness+Opposing Interactions,40,1.73
Opposing Interactions,35,1.87
Opposing Interactions,36,1.88
Opposing Interactions,37,1.87
Opposing Interactions,38,1.83
Opposing Interactions,39,1.79
Opposing Interactions,40,1.82
Original,35,1.86
Original,36,1.86
Original,37,1.85
Original,38,1.86
Original,39,1.86
Original,40,1.87
